iter	Logloss
0	0.6927584938
1	0.6924332593
2	0.6920751263
3	0.6917436645
4	0.6911099402
5	0.6905086246
6	0.6902141063
7	0.6897502788
8	0.6894175353
9	0.6890025098
10	0.6886395083
11	0.688380043
12	0.6879664682
13	0.6876585771
14	0.6872194259
15	0.6868497402
16	0.6865200227
17	0.6861725784
18	0.6857089182
19	0.685273652
20	0.6848154105
21	0.6844489932
22	0.6838864797
23	0.683542895
24	0.683196124
25	0.6829487262
26	0.6824458767
27	0.6822025689
28	0.6819392481
29	0.6813659345
30	0.6810421932
31	0.6806414829
32	0.6802532936
33	0.679860059
34	0.6794723247
35	0.6790857217
36	0.6786037464
37	0.6781532262
38	0.6777618025
39	0.6774271278
40	0.6770346343
41	0.676653555
42	0.6762058456
43	0.675865487
44	0.6756739245
45	0.6753689256
46	0.6751539166
47	0.6747427065
48	0.6742510228
49	0.6739700186
50	0.6736687392
51	0.6733306355
52	0.6729227337
53	0.6727123554
54	0.6723170706
55	0.6718199606
56	0.6713846426
57	0.6710602059
58	0.6706206747
59	0.6703135967
60	0.6698240337
61	0.6695005352
62	0.6691386542
63	0.6688903932
64	0.6685377389
65	0.6680566911
66	0.6676454014
67	0.6672637417
68	0.6668419662
69	0.6663331259
70	0.6658923985
71	0.6655776771
72	0.6653375808
73	0.6649565655
74	0.6646262845
75	0.6641233051
76	0.6638059596
77	0.6634410266
78	0.6631491917
79	0.6627388694
80	0.6624186361
81	0.6620250213
82	0.6616664512
83	0.6613004633
84	0.6608503905
85	0.6604407545
86	0.6601210048
87	0.6597492657
88	0.6593068684
89	0.6589857341
90	0.658550321
91	0.6581180809
92	0.6576814924
93	0.657371676
94	0.6569536268
95	0.6567017352
96	0.6564057299
97	0.6560142914
98	0.6557193216
99	0.6553067225
100	0.6549726508
101	0.6546739979
102	0.6542628008
103	0.6538959076
104	0.6534346256
105	0.6531568641
106	0.6528165113
107	0.652449346
108	0.6519937912
109	0.6517834257
110	0.6515237599
111	0.6512106805
112	0.6507510824
113	0.6504569951
114	0.6501562923
115	0.6497967512
116	0.649425788
117	0.6491585776
118	0.6487465639
119	0.6483509173
120	0.6480629779
121	0.6477677052
122	0.6474800802
123	0.6471928581
124	0.6468376402
125	0.6466565942
126	0.6462973462
127	0.6459508713
128	0.6455738128
129	0.6451474309
130	0.6448365604
131	0.6444691864
132	0.6441507791
133	0.6437742267
134	0.6433359872
135	0.6430349287
136	0.6426743346
137	0.6423791043
138	0.6420674525
139	0.6417839488
140	0.6413941834
141	0.6410826858
142	0.6406837826
143	0.6403605047
144	0.6400137665
145	0.6396473386
146	0.63927984
147	0.6390006765
148	0.6387942408
149	0.6384819846
150	0.6379860846
151	0.6375970979
152	0.6373075657
153	0.6370615077
154	0.6367403723
155	0.6363672061
156	0.6360200246
157	0.6357393321
158	0.6354428812
159	0.6350257036
160	0.634746365
161	0.6344273702
162	0.6341574134
163	0.6338379811
164	0.6335118997
165	0.6331508517
166	0.6327891234
167	0.6322877133
168	0.631968196
169	0.6316919138
170	0.6314193692
171	0.6311314972
172	0.6308621826
173	0.6306067063
174	0.6302725829
175	0.6299602394
176	0.6297461135
177	0.6293213325
178	0.6290173932
179	0.628683776
180	0.6284008794
181	0.6281421168
182	0.6278276933
183	0.6274572932
184	0.6271023485
185	0.6269005126
186	0.6266467633
187	0.6263725588
188	0.6260400794
189	0.6256734782
190	0.6253575686
191	0.6250514487
192	0.6248180477
193	0.6246288007
194	0.6244303406
195	0.6241770228
196	0.6239291951
197	0.6237515978
198	0.6235608121
199	0.6232104936
200	0.6230601786
201	0.6227799666
202	0.6225302145
203	0.6223517327
204	0.6221342767
205	0.6217234449
206	0.6213840442
207	0.6210862348
208	0.6207986857
209	0.6203908065
210	0.6200877736
211	0.6198643558
212	0.6197024053
213	0.6193815043
214	0.619142413
215	0.618803263
216	0.6185336817
217	0.6183323216
218	0.6179993817
219	0.6175993368
220	0.6173195246
221	0.6170554554
222	0.6167760321
223	0.6164777714
224	0.6161952951
225	0.6159623694
226	0.6157445342
227	0.6155439518
228	0.6153036676
229	0.6150702143
230	0.6149137672
231	0.6146182321
232	0.6142723719
233	0.6140355826
234	0.6138061315
235	0.6135314215
236	0.6131376237
237	0.612934987
238	0.6127150019
239	0.6124484463
240	0.6122575848
241	0.6120061373
242	0.6116202632
243	0.6113345538
244	0.6110833696
245	0.6108514136
246	0.610569188
247	0.6102878835
248	0.6100066166
249	0.6097548094
250	0.6094766631
251	0.6090963154
252	0.6088214459
253	0.6085105204
254	0.6082391422
255	0.6080257857
256	0.6078199963
257	0.6075048931
258	0.6072066497
259	0.6070315851
260	0.6067602159
261	0.6065235328
262	0.6062214263
263	0.6060118878
264	0.6057001598
265	0.6053664363
266	0.6051036412
267	0.6048636396
268	0.6045441918
269	0.6043081189
270	0.6040601866
271	0.6038067934
272	0.6035603702
273	0.6032622719
274	0.6030515931
275	0.6028321371
276	0.6026120276
277	0.6024542206
278	0.6023363505
279	0.6021740949
280	0.6019351912
281	0.601547539
282	0.6014325357
283	0.601141945
284	0.6008388914
285	0.6006588851
286	0.6003262888
287	0.6000427954
288	0.5996603974
289	0.5993849615
290	0.5991356719
291	0.5986785439
292	0.5984641256
293	0.598156123
294	0.5978538057
295	0.5975953773
296	0.5973399064
297	0.597053664
298	0.5968178193
299	0.5965652701
300	0.5962837493
301	0.5959852651
302	0.5958205313
303	0.5954923413
304	0.5953433133
305	0.5951094677
306	0.5948700485
307	0.5945932121
308	0.5943945579
309	0.5941927903
310	0.5940013391
311	0.5937031297
312	0.5934239111
313	0.5931782987
314	0.593038363
315	0.5928334305
316	0.5925774764
317	0.5924332321
318	0.5921838952
319	0.591891377
320	0.5916480246
321	0.5914067073
322	0.5910917306
323	0.5908423338
324	0.5906441741
325	0.5904197843
326	0.5901541426
327	0.589905716
328	0.5896184129
329	0.589400451
330	0.5890766052
331	0.588783279
332	0.5885845914
333	0.5885120585
334	0.5883355246
335	0.5881342592
336	0.5878819346
337	0.5876065707
338	0.5873451523
339	0.5871356839
340	0.5868409431
341	0.5865970831
342	0.5863872638
343	0.5862324732
344	0.5860508113
345	0.5857131473
346	0.585477549
347	0.5852549548
348	0.5850831722
349	0.5849184772
350	0.5847902429
351	0.5845038178
352	0.5842592107
353	0.5840114808
354	0.5837761235
355	0.5835951266
356	0.583390745
357	0.58311269
358	0.5828266604
359	0.5825644156
360	0.5822987032
361	0.5820926223
362	0.5818259178
363	0.5815375702
364	0.5814110374
365	0.5811616858
366	0.5809484498
367	0.5805574171
368	0.5804310237
369	0.5801727368
370	0.5799554652
371	0.5796823263
372	0.5794786502
373	0.5793201543
374	0.5791445782
375	0.578923626
376	0.5787024103
377	0.5784610947
378	0.5782108686
379	0.5778611531
380	0.5776799013
381	0.5774150931
382	0.5771829242
383	0.5769620246
384	0.576821298
385	0.5766010428
386	0.5763907692
387	0.5761846879
388	0.5760137389
389	0.5757981118
390	0.575581655
391	0.5753918365
392	0.5752726913
393	0.5750760842
394	0.5748379558
395	0.5745776856
396	0.574376878
397	0.5742323247
398	0.5740099607
399	0.5738136081
400	0.5735889477
401	0.5733341836
402	0.5731243578
403	0.5728222427
404	0.5726319687
405	0.5724357828
406	0.5721799469
407	0.5719718867
408	0.5716450493
409	0.5713354033
410	0.571169435
411	0.5709248405
412	0.5707698709
413	0.5705501164
414	0.5703102143
415	0.5701326447
416	0.5699653947
417	0.5698051468
418	0.5696499527
419	0.5694288799
420	0.5692219533
421	0.5690246702
422	0.5688920572
423	0.5686107699
424	0.5683937303
425	0.5681742733
426	0.5679949752
427	0.567791001
428	0.5675543667
429	0.567355862
430	0.5671358388
431	0.5669957387
432	0.5667567498
433	0.5666301275
434	0.5664450457
435	0.566137214
436	0.5660756267
437	0.5658781544
438	0.5656657474
439	0.5654234681
440	0.5652866569
441	0.5650422002
442	0.5648179115
443	0.5646370849
444	0.5644087241
445	0.5641743979
446	0.5639442112
447	0.5637310844
448	0.5635063224
449	0.5631356907
450	0.5628614009
451	0.5627032926
452	0.5624503876
453	0.5622931784
454	0.5621495295
455	0.5619930983
456	0.5616950612
457	0.5614079813
458	0.5612309362
459	0.5611389031
460	0.5610161452
461	0.5608180409
462	0.5606771368
463	0.5604983695
464	0.5603516163
465	0.5602931094
466	0.5602469966
467	0.5600462675
468	0.5598886206
469	0.5596501507
470	0.5594860478
471	0.5593230029
472	0.5590518805
473	0.5588474904
474	0.5586650454
475	0.5585838494
476	0.5584645052
477	0.5582245437
478	0.5580549388
479	0.5578609434
480	0.5576672093
481	0.5574757089
482	0.5573156768
483	0.5570752035
484	0.5568139945
485	0.5565833301
486	0.5563826994
487	0.5562346177
488	0.5559673785
489	0.5556742987
490	0.5554948082
491	0.5552872695
492	0.5551343089
493	0.5549942549
494	0.5547591331
495	0.5545635373
496	0.5543292398
497	0.5541447206
498	0.5539505715
499	0.5537757906
500	0.5536129407
501	0.5534631925
502	0.5533200834
503	0.5531428134
504	0.5529110645
505	0.5527390295
506	0.5525957833
507	0.5523444781
508	0.5522337214
509	0.5520301907
510	0.5517988976
511	0.5515871851
512	0.5514129464
513	0.551228246
514	0.5510435811
515	0.550973138
516	0.5508788368
517	0.5506586541
518	0.5504955674
519	0.5503129517
520	0.5501964598
521	0.5500371175
522	0.5497894763
523	0.5496828013
524	0.5495324059
525	0.5492526193
526	0.5491481934
527	0.5489283187
528	0.5487782079
529	0.548648991
530	0.548529297
531	0.5483495911
532	0.5481758111
533	0.5479903913
534	0.5477381564
535	0.5475386695
536	0.5473943028
537	0.5470633452
538	0.5468816639
539	0.54670783
540	0.5465689411
541	0.5464001398
542	0.5461690656
543	0.5458880469
544	0.5457287515
545	0.5455121805
546	0.5453320346
547	0.5452101365
548	0.5451485617
549	0.5449228885
550	0.5447257498
551	0.5445067154
552	0.5443625054
553	0.5442128673
554	0.5440925455
555	0.5438099853
556	0.5436196291
557	0.5434728797
558	0.543068414
559	0.5428212112
560	0.542680108
561	0.5425281599
562	0.5423567971
563	0.5422526195
564	0.5421010798
565	0.541983023
566	0.5418337339
567	0.5416240725
568	0.5414596139
569	0.5412594814
570	0.5410983431
571	0.5408918482
572	0.5407124968
573	0.5405329431
574	0.5403381305
575	0.540147275
576	0.5400211341
577	0.5398892251
578	0.5397590684
579	0.5395760736
580	0.539235148
581	0.5391137818
582	0.5390605395
583	0.5389068038
584	0.5386779603
585	0.5384216931
